"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"CHAIN",1.5,1.5,1.00018242955644,1.5,0.95,1,2,NA,NA,NA,NA,NA,NA,NA
"beta0",-0.111727824495374,-4.64365e-05,0.000837597029206924,106.8,0.95,-0.0349328,0.000630265,1,0,NA,NA,NA,NA,NA
"beta[1]",0.81977789,0.822564,0.822061935719207,107.1,0.95,0.822277,0.824876,0,100,NA,NA,NA,NA,NA
"beta[2]",-0.8044113824,-0.822573,-0.823302608287137,102.2,0.95,-0.82537,-0.822267,0,0.8,NA,NA,NA,NA,NA
"beta[3]",-0.00563176926224102,-3.715895e-07,0.000124211598428621,76.9,0.95,-0.00153489,0.000102914,0,49.4,NA,NA,NA,NA,NA
"beta[4]",-0.813939544,-0.822577,-0.82484541893554,115,0.95,-0.825142,-0.822286,0,0.4,NA,NA,NA,NA,NA
"beta[5]",-0.0139631387478482,-3.035225e-06,0.000442375879455159,87,0.95,-0.00165535,0.000401278,0,47.6,NA,NA,NA,NA,NA
"beta[6]",-0.012307783047438,2.97131e-06,0.000539433628690238,90.7,0.95,-0.00126018,0.00048353,0,50.8,NA,NA,NA,NA,NA
"beta[7]",0.00013054325298342,-4.952815e-07,1.15728549292856e-05,139.7,0.95,-3.93972e-05,1.92207e-05,0,47.4,NA,NA,NA,NA,NA
"beta[8]",-0.0037943208916266,3.093445e-07,7.17696116632326e-05,90.3,0.95,-0.000535277,5.59435e-05,0,51.2,NA,NA,NA,NA,NA
"beta[9]",-0.0116464665456342,-1.758465e-06,0.000601611379973572,93,0.95,-0.000722222,0.000575303,0,46.8,NA,NA,NA,NA,NA
"beta[10]",-0.008152978135665,-2.48049e-06,0.000288713704400371,93.9,0.95,-0.000906595,0.000265012,0,46.6,NA,NA,NA,NA,NA
"beta[11]",-0.0088665436565294,8.748245e-07,0.000686940422372874,106.8,0.95,-0.000108233,0.000634398,0,52,NA,NA,NA,NA,NA
"beta[12]",-0.0070277734464104,-1.922537e-07,0.000280185836720421,96.7,0.95,-0.000520835,0.000253709,0,49.8,NA,NA,NA,NA,NA
"beta[13]",-0.0064475198572368,-3.072965e-06,-0.000569337710756179,110.7,0.95,-0.000108449,0.000457607,0,47.2,NA,NA,NA,NA,NA
"beta[14]",0.006611402400916,2.3299065e-07,-0.000298806872515497,94.9,0.95,-0.000254952,0.000534316,0,50.2,NA,NA,NA,NA,NA
"beta[15]",-0.996835352,-0.9999965,-0.999896573850723,95.5,0.95,-1.00024,-0.998753,0,0,NA,NA,NA,NA,NA
"beta[16]",-0.0089125665964404,3.97248e-07,-0.000611086255326798,115.6,0.95,-7.68281e-05,0.000774985,0,50.8,NA,NA,NA,NA,NA
"beta[17]",-0.0052107419456336,6.44489e-06,4.33777668054081e-05,150.6,0.95,-0.000170923,0.00189583,0,53,NA,NA,NA,NA,NA
"beta[18]",0.009965533172213,-4.298175e-06,-0.000274786158411899,81.6,0.95,-0.000227932,0.00163247,0,46.4,NA,NA,NA,NA,NA
"beta[19]",0.0007436813469406,1.477775e-06,5.17734322399256e-05,92.2,0.95,-6.18789e-05,0.000345059,0,53.4,NA,NA,NA,NA,NA
"beta[20]",0.001782896268345,5.15742e-06,0.000153637218503746,112.5,0.95,-0.000122898,0.000150848,0,55.2,NA,NA,NA,NA,NA
"beta[21]",0.0009719895461806,4.60161e-06,-3.61297694396296e-05,117.5,0.95,-0.000174575,0.000180312,0,53.4,NA,NA,NA,NA,NA
"beta[22]",-0.0012195723793834,-4.330225e-07,1.13280121551199e-05,113.4,0.95,-0.000383542,8.35038e-06,0,44.8,NA,NA,NA,NA,NA
"pred[1]",1.038971454,1,0.999217031193084,101,0.95,0.999357,1.00553,NA,NA,NA,NA,NA,NA,NA
"pred[2]",-0.01928196377322,-8.79978e-06,-0.000648313268042822,89.6,0.95,-0.000368675,0.00210871,NA,NA,NA,NA,NA,NA,NA
"pred[3]",1.014230888,1.000035,1.00052471621534,79.8,0.95,0.999158,1.00647,NA,NA,NA,NA,NA,NA,NA
"pred[4]",-0.027635379088068,1.386335e-06,0.00212339444665195,106.5,0.95,-0.000403253,0.00186169,NA,NA,NA,NA,NA,NA,NA
"pred[5]",0.028307388898858,-7.187805e-07,-0.00165248182449225,102.8,0.95,-0.00152172,0.00114917,NA,NA,NA,NA,NA,NA,NA
"pred[6]",-0.003241858308792,1.1346255e-06,0.000167610517286254,134.3,0.95,-0.000366915,0.00297301,NA,NA,NA,NA,NA,NA,NA
"pred[7]",0.009458687439716,-1.385705e-05,0.000807713529767912,225,0.95,-0.00625525,0.000754981,NA,NA,NA,NA,NA,NA,NA
"pred[8]",0.059875243672856,6.02758e-06,0.004073462569287,90.5,0.95,-0.00551027,0.000457048,NA,NA,NA,NA,NA,NA,NA
"pred[9]",0.0133920394961912,1.04056e-05,-0.000478112262185278,125.4,0.95,-0.000376778,0.00279854,NA,NA,NA,NA,NA,NA,NA
"pred[10]",0.006332221331142,1.60848e-05,0.000322523006879529,64.7,0.95,-0.000674462,0.00718047,NA,NA,NA,NA,NA,NA,NA
"pred[11]",0.04089024729406,1.45766e-05,-0.000671725028340579,91.9,0.95,-0.000527573,0.00694942,NA,NA,NA,NA,NA,NA,NA
"pred[12]",-0.020256449683728,3.61989e-06,0.00063245471673347,80.4,0.95,-0.00323211,0.000526208,NA,NA,NA,NA,NA,NA,NA
"pred[13]",0.026006393295642,-9.001155e-06,-0.00187632479000064,94.9,0.95,-0.00433143,0.000381979,NA,NA,NA,NA,NA,NA,NA
"pred[14]",-0.02868184472888,-1.224835e-05,0.000593449653777647,104.3,0.95,-0.00381639,0.000490718,NA,NA,NA,NA,NA,NA,NA
"pred[15]",0.037468642793808,-1.5248275e-06,-0.00199469137461237,105.2,0.95,-0.00177398,0.000681507,NA,NA,NA,NA,NA,NA,NA
"pred[16]",-0.00371556459118,-1.21585e-05,6.71313803561058e-05,78,0.95,-0.00273235,0.000419015,NA,NA,NA,NA,NA,NA,NA
"pred[17]",-0.028992695444152,-1.38148e-05,0.0015005400647853,88.2,0.95,-0.00386737,0.00136109,NA,NA,NA,NA,NA,NA,NA
"pred[18]",-0.027896467480878,1.783785e-07,0.0014116715474612,104.6,0.95,-0.00165881,0.00123582,NA,NA,NA,NA,NA,NA,NA
"pred[19]",0.00671711887532,-7.852355e-06,-0.000286081721877107,94.1,0.95,-0.00169295,0.00105018,NA,NA,NA,NA,NA,NA,NA
"pred[20]",0.09587178992298,7.84015e-06,-0.00293034597063665,96.3,0.95,-0.00270114,0.00977059,NA,NA,NA,NA,NA,NA,NA
"pred[21]",0.03052392921556,-1.157945e-05,-0.00255679069357871,114.7,0.95,-0.00219837,0.000567888,NA,NA,NA,NA,NA,NA,NA
"pred[22]",0.000820449394475,-4.349725e-06,0.000136844966316302,268.9,0.95,-0.00322896,0.0004805,NA,NA,NA,NA,NA,NA,NA
"pred[23]",0.019246846584516,-1.182433e-06,0.00190561239071748,113.1,0.95,-0.00136748,0.000408562,NA,NA,NA,NA,NA,NA,NA
"pred[24]",-0.02896417748155,-1.16062e-05,0.00202740814025486,95.9,0.95,-0.00188271,0.0018914,NA,NA,NA,NA,NA,NA,NA
"pred[25]",0.00191632212022,-1.547075e-05,-0.000107222033925396,188.4,0.95,-0.00111437,0.000668009,NA,NA,NA,NA,NA,NA,NA
"pred[26]",-0.01248513349348,-2.88049e-06,0.000116440975585275,98.5,0.95,-0.000412961,0.00258937,NA,NA,NA,NA,NA,NA,NA
"pred[27]",-0.0509766851910774,-2.26815e-05,0.000919672550966136,88.9,0.95,-0.00782489,0.000804798,NA,NA,NA,NA,NA,NA,NA
"pred[28]",-0.0140616769817,-7.91717e-06,0.000531606120767205,117.1,0.95,-0.00395891,0.000414051,NA,NA,NA,NA,NA,NA,NA
"pred[29]",-0.049050871688912,-6.53542e-06,-0.00345214051062381,92.5,0.95,-0.000630944,0.00447625,NA,NA,NA,NA,NA,NA,NA
"pred[30]",-0.02886485089376,-2.2827e-06,0.00138353957502788,86.1,0.95,-0.00383156,0.001276,NA,NA,NA,NA,NA,NA,NA
"pred[31]",-0.049820086621916,-4.698645e-06,0.00191980289848801,99.5,0.95,-0.00317132,0.00181289,NA,NA,NA,NA,NA,NA,NA
"pred[32]",0.02252239005133,6.247115e-06,-0.000632731327207071,88.5,0.95,-0.000486435,0.00567134,NA,NA,NA,NA,NA,NA,NA
"pred[33]",0.0883571047715574,9.373215e-06,-0.00409921830120022,103.8,0.95,-0.00390675,0.00405057,NA,NA,NA,NA,NA,NA,NA
"pred[34]",-0.072201853646338,-6.04481e-06,0.00222446054908261,101.6,0.95,-0.00543431,0.00209394,NA,NA,NA,NA,NA,NA,NA
"pred[35]",-0.028865686659474,-1.18014e-05,0.000441752838412212,91.6,0.95,-0.0107128,0.000349276,NA,NA,NA,NA,NA,NA,NA
"pred[36]",2.02289732,2.00002,1.99915139790652,101,0.95,1.99932,2.00468,NA,NA,NA,NA,NA,NA,NA
"pred[37]",-0.00212759269698,-2.57572e-05,0.000190558799121721,157.1,0.95,-0.00808989,0.000389985,NA,NA,NA,NA,NA,NA,NA
"pred[38]",-0.083072993418876,-3.074415e-05,0.00407013597671086,91.7,0.95,-0.00639886,0.00381067,NA,NA,NA,NA,NA,NA,NA
"pred[39]",-0.0430715751084061,-2.59647e-05,0.000682857850460356,94.3,0.95,-0.00718253,0.000556299,NA,NA,NA,NA,NA,NA,NA
"pred[40]",0.017986355207718,7.960895e-06,-0.000533710876787402,70.3,0.95,-0.000417894,0.00668379,NA,NA,NA,NA,NA,NA,NA
"pred[41]",0.04469491651278,1.074255e-05,-0.00085720880179862,86.6,0.95,-0.000705405,0.00860074,NA,NA,NA,NA,NA,NA,NA
"pred[42]",-0.0283116696885216,3.15263e-06,0.00056066096026008,79.9,0.95,-0.00742779,0.000443448,NA,NA,NA,NA,NA,NA,NA
"pred[43]",0.005732134016278,-6.07526e-06,-0.000942550126426356,244.1,0.95,-0.00446338,0.000376578,NA,NA,NA,NA,NA,NA,NA
"pred[44]",0.065079472469192,-3.27332e-07,-0.00311904193458041,90,0.95,-0.0029323,0.00519413,NA,NA,NA,NA,NA,NA,NA
"pred[45]",0.065336585084218,1.36472e-05,-0.00235777540753947,97.3,0.95,-0.00217385,0.00587782,NA,NA,NA,NA,NA,NA,NA
"pred[46]",0.011446651360546,-5.162795e-06,-0.000484947266166554,77.4,0.95,-0.00186713,0.000342055,NA,NA,NA,NA,NA,NA,NA
"pred[47]",-0.0487201953292906,-1.51816e-05,0.000959107371547311,90.7,0.95,-0.00803994,0.000782774,NA,NA,NA,NA,NA,NA,NA
"pred[48]",0.02097539091816,4.677995e-06,-0.000657647894842504,92.2,0.95,-0.000527691,0.0028619,NA,NA,NA,NA,NA,NA,NA
"pred[49]",0.060508673700336,1.164445e-05,-0.0015777758777017,93.6,0.95,-0.00144209,0.00705155,NA,NA,NA,NA,NA,NA,NA
