"Name.Id","Brownlow.Votes"
"Wines, Ollie, 2013873126",36
"Bontempelli, Marcus, 2014665253",33
"Oliver, Clayton, 2016799932",31
"Walsh, Sam, 2019878858",30
"Steele, Jack, 2015835970",26
"Parish, Darcy, 2016804522",26
"Mitchell, Tom, 2013777613",25
"Boak, Travis, 2007664906",25
"Lyons, Jarryd, 2012767797",23
"Petracca, Christian, 2016803810",23
"Mundy, David, 2005777934",20
"Merrett, Zach, 2014779731",20
"Guthrie, Cameron, 2011716859",18
"Mills, Callum, 2016773830",18
"Miller, Touk, 2015778053",17
"Parker, Luke, 2011807692",17
"Laird, Rory, 2013762245",16
"Gawn, Max, 2011718646",16
"Hopper, Jacob, 2016727433",15
"Taranto, Tim, 2017848621",15
"Cunnington, Ben, 2010679202",15
"Zorko, Dayne, 2012905229",14
"Macrae, Jack, 2013773561",14
"Sheed, Dom, 2014839842",13
"Martin, Dustin, 2010771114",11
"OMeara, Jaeger, 2013794024",11
"Keays, Ben, 2016755444",11
"Kelly, Josh, 2014752713",11
"Crisp, Jack, 2012675021",11
"Amon, Karl, 2015653134",11
"Dunstan, Luke, 2014685238",11
"McCluggage, Hugh, 2017777675",10
"Kelly, Tim, 2018758572",10
"Brayshaw, Andrew, 2018669647",10
"Selwood, Joel, 2007835833",9
"Walker, Taylor, 2009877055",9
"Gaff, Andrew, 2011712726",9
"Grundy, Brodie, 2013718586",9
"de Goey, Jordan, 20151001643",9
"Riewoldt, Jack, 2007822538",8
"McKay, Harry, 2017779237",8
"Wingard, Chad, 2012874810",8
"Anderson, Noah, 2020653600",8
"Stewart, Tom, 2017836998",8
"McDonald, Tom, 2011779716",8
"Smith, Bailey, 2019836618",8
"Franklin, Lance, 2005708162",8
"Heeney, Isaac, 2015728707",8
"Kennedy, Josh, 2008757561",8
"Ward, Callan, 2008879369",8
"Neale, Lachie, 2012786162",8
"Stringer, Jake, 2013833968",8
"Treloar, Adam, 2012841186",7
